50 85
0 1 10
0 2 20
0 3 30
0 4 40
0 5 50
0 6 60
0 7 70
0 8 80
0 9 90
1 2 12
1 3 15
1 4 25
1 5 35
1 6 45
1 7 55
1 8 65
1 9 75
2 3 18
2 4 28
2 5 38
2 6 48
2 7 58
2 8 68
2 9 78
3 4 22
3 5 32
3 6 42
3 7 52
3 8 62
3 9 72
4 5 26
4 6 36
4 7 46
4 8 56
4 9 66
5 6 10
5 7 20
5 8 30
5 9 40
6 7 15
6 8 25
6 9 35
7 8 18
7 9 28
8 9 22
1 0 10
2 0 20
3 0 30
4 0 40
5 0 50
6 0 60
7 0 70
8 0 80
9 0 90
2 1 12
3 1 15
4 1 25
5 1 35
6 1 45
7 1 55
8 1 65
9 1 75
3 2 18
4 2 28
5 2 38
6 2 48
7 2 58
8 2 68
9 2 78
4 3 22
5 3 32
6 3 42
7 3 52
8 3 62
9 3 72
5 4 26
6 4 36
7 4 46
8 4 56
9 4 66
6 5 10
7 5 20
8 5 30
9 5 40
7 6 15
8 6 25
9 6 35
8 7 18
9 7 28
9 8 22
